Methods called,Number of times,Number of times (Normalized)
"float[][][5]",27,0.0012
"public static org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures org.apache.lucene.util.LuceneTestCase.replaceMaxFailureRule(org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures)",200,0.008888888888888889
"float[][][4]",1,4.4444444444444447E-5
"java.lang.String[][][4]",18,8.0E-4
"float[][][6]",1,4.4444444444444447E-5
"java.lang.String[][][0]",207,0.0092
"public static java.util.Random org.apache.lucene.util.LuceneTestCase.random()",1,4.4444444444444447E-5
"public static void org.junit.Assert.assertTrue(java.lang.String,boolean)",28,0.0012444444444444445
"public static void org.junit.Assert.assertTrue(boolean)",2,8.888888888888889E-5
"public static void org.elasticsearch.test.ESTestCase.setProcessors()",1,4.4444444444444447E-5
"public static org.elasticsearch.common.settings.Settings$Builder org.elasticsearch.test.ESTestCase.settings(org.elasticsearch.Version)",1,4.4444444444444447E-5
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldEquals(java.lang.String,org.apache.lucene.index.IndexableField,org.apache.lucene.index.IndexableField)",285,0.012666666666666666
"randoop.operation.UncheckedCast@4c96a08c",23,0.0010222222222222223
"randoop.operation.ArrayElementSet@37b0c7aa",8,3.5555555555555557E-4
"float[][][1]",28,0.0012444444444444445
"java.lang.String[][][5]",6,2.666666666666667E-4
"public void org.apache.lucene.util.LuceneTestCase.setIndexWriterMaxDocs(int)",7298,0.32435555555555556
"float[][][0]",33,0.0014666666666666667
"float[][][3]",1,4.4444444444444447E-5
"float[][][2]",12,5.333333333333334E-4
"public java.nio.file.Path org.elasticsearch.test.ESTestCase.getDataPath(java.lang.String)",342,0.0152
"public final org.junit.rules.TestRule org.apache.lucene.util.LuceneTestCase.ruleChain",5072,0.22542222222222222
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path)",1,4.4444444444444447E-5
"public static org.apache.lucene.store.BaseDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newFSDirectory(java.nio.file.Path,org.apache.lucene.store.LockFactory)",1,4.4444444444444447E-5
"public static java.util.Random org.elasticsearch.test.ESTestCase.getRandom()",1,4.4444444444444447E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MONSTER",1,4.4444444444444447E-5
"public static void org.junit.Assert.assertNotSame(java.lang.Object,java.lang.Object)",1557,0.0692
"public static void org.junit.Assert.assertNotSame(java.lang.String,java.lang.Object,java.lang.Object)",1974,0.08773333333333333
"public static void org.junit.Assert.assertNull(java.lang.Object)",287,0.012755555555555555
"public static void org.junit.Assert.assertNull(java.lang.String,java.lang.Object)",291,0.012933333333333333
"public static int org.apache.lucene.util.LuceneTestCase.collate(java.text.Collator,java.lang.String,java.lang.String)",153,0.0068
"randoop.operation.UncheckedCast@35b89597",12,5.333333333333334E-4
"org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures[][5]",1,4.4444444444444447E-5
"randoop.operation.UncheckedCast@ff913cb",2,8.888888888888889E-5
"java.lang.reflect.AnnotatedElement[][2]",9,4.0E-4
"public static void org.junit.Assert.assertEquals(float,float,float)",333,0.0148
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object,java.lang.Object)",215,0.009555555555555555
"public static void org.junit.Assert.assertEquals(double,double,double)",315,0.014
"public static void org.junit.Assert.assertEquals(java.lang.Object,java.lang.Object)",226,0.010044444444444444
"public static void org.junit.Assert.assertEquals(java.lang.String,float,float,float)",285,0.012666666666666666
"randoop.operation.ArrayElementSet@629fb2a8",4,1.7777777777777779E-4
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double,double)",281,0.01248888888888889
"java.lang.String[][][][][][][][3]",1,4.4444444444444447E-5
"public static void org.junit.Assert.assertEquals(java.lang.Object[],java.lang.Object[])",1633,0.07257777777777778
"public static void org.junit.Assert.assertEquals(long,long)",228,0.010133333333333333
"public static void org.junit.Assert.assertEquals(java.lang.String,java.lang.Object[],java.lang.Object[])",1151,0.05115555555555556
"public static void org.junit.Assert.assertEquals(double,double)",268,0.011911111111111112
"public static void org.junit.Assert.assertEquals(java.lang.String,double,double)",306,0.0136
"public static void org.junit.Assert.assertEquals(java.lang.String,long,long)",295,0.013111111111111112
"public static java.lang.String org.elasticsearch.test.ESTestCase.randomUnicodeOfCodepointLengthBetween(int,int)",214,0.00951111111111111
"public static boolean org.elasticsearch.test.ESTestCase.frequently()",1,4.4444444444444447E-5
"public void org.apache.lucene.util.LuceneTestCase.setUp() throws java.lang.Exception",5329,0.23684444444444444
"public static boolean org.apache.lucene.util.LuceneTestCase.usually()",1,4.4444444444444447E-5
"public static boolean org.apache.lucene.util.LuceneTestCase.usually(java.util.Random)",1,4.4444444444444447E-5
"float[][][][][0]",3,1.3333333333333334E-4
"public static void org.apache.lucene.util.LuceneTestCase.setupSpins()",1,4.4444444444444447E-5
"double[2]",132,0.005866666666666667
"double[3]",12,5.333333333333334E-4
"double[4]",13,5.777777777777778E-4
"double[5]",19,8.444444444444444E-4
"java.lang.Cloneable[5]",1,4.4444444444444447E-5
"randoop.operation.UncheckedCast@6c7aac2c",1,4.4444444444444447E-5
"double[0]",34,0.001511111111111111
"public java.lang.String org.apache.lucene.util.LuceneTestCase.getTestName()",8899,0.3955111111111111
"double[1]",2592,0.1152
"double[6]",78,0.0034666666666666665
"randoop.operation.ArrayElementSet@503c2860",3,1.3333333333333334E-4
"public static boolean org.elasticsearch.test.ESTestCase.assertionsEnabled()",1,4.4444444444444447E-5
"public static final boolean org.apache.lucene.util.LuceneTestCase.assertsAreEnabled",1,4.4444444444444447E-5
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.DEFAULT_LINE_DOCS_FILE",1,4.4444444444444447E-5
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockDirectory(java.util.Random)",1,4.4444444444444447E-5
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockDirectory()",1,4.4444444444444447E-5
"public static org.apache.lucene.store.MockDirectoryWrapper org.apache.lucene.util.LuceneTestCase.newMockDirectory(java.util.Random,org.apache.lucene.store.LockFactory)",1,4.4444444444444447E-5
"float[][][][][5]",3,1.3333333333333334E-4
"org.junit.rules.RuleChain[][][][][5]",1,4.4444444444444447E-5
"randoop.operation.UncheckedCast@75bf19cc",194,0.008622222222222222
"float[][][][][3]",3,1.3333333333333334E-4
"float[][][][][4]",1,4.4444444444444447E-5
"short[][][][][1]",1,4.4444444444444447E-5
"randoop.operation.ArrayElementSet@3505417f",2,8.888888888888889E-5
"public static java.util.TimeZone org.apache.lucene.util.LuceneTestCase.randomTimeZone(java.util.Random)",1,4.4444444444444447E-5
"short[][][][][6]",1,4.4444444444444447E-5
"public void org.apache.lucene.util.LuceneTestCase.assertTermsEnumEquals(java.lang.String,org.apache.lucene.index.IndexReader,org.apache.lucene.index.TermsEnum,org.apache.lucene.index.TermsEnum,boolean) throws java.io.IOException",285,0.012666666666666666
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.TEST_POSTINGSFORMAT",1,4.4444444444444447E-5
"public void org.apache.lucene.util.LuceneTestCase.assertDocsSkippingEquals(java.lang.String,org.apache.lucene.index.IndexReader,int,org.apache.lucene.index.PostingsEnum,org.apache.lucene.index.PostingsEnum,boolean) throws java.io.IOException",5928,0.2634666666666667
"double[][][][6]",1,4.4444444444444447E-5
"public static void org.junit.Assert.assertNotEquals(double,double,double)",292,0.012977777777777777
"public static void org.junit.Assert.assertNotEquals(java.lang.String,double,double,double)",307,0.013644444444444445
"public static void org.junit.Assert.assertNotEquals(long,long)",237,0.010533333333333334
"public static void org.junit.Assert.assertNotEquals(java.lang.String,java.lang.Object,java.lang.Object)",4980,0.22133333333333333
"public static void org.junit.Assert.assertNotEquals(java.lang.Object,java.lang.Object)",2657,0.11808888888888888
"public static void org.junit.Assert.assertNotEquals(java.lang.String,long,long)",279,0.0124
"public final void org.elasticsearch.test.ESTestCase.ensureCleanedUp() throws java.lang.Exception",3790,0.16844444444444445
"public void org.apache.lucene.util.LuceneTestCase.assertPositionsSkippingEquals(java.lang.String,org.apache.lucene.index.IndexReader,int,org.apache.lucene.index.PostingsEnum,org.apache.lucene.index.PostingsEnum) throws java.io.IOException",4567,0.20297777777777778
"public static org.apache.lucene.index.SegmentReader org.apache.lucene.util.LuceneTestCase.getOnlySegmentReader(org.apache.lucene.index.DirectoryReader)",1,4.4444444444444447E-5
"double[][][][2]",1,4.4444444444444447E-5
"java.util.Set[]",229,0.010177777777777779
"double[][][][1]",7,3.111111111111111E-4
"java.util.Set[][]",11,4.888888888888889E-4
"java.util.Set[][][]",3,1.3333333333333334E-4
"double[][][][3]",3,1.3333333333333334E-4
"public static void org.junit.Assert.assertNotNull(java.lang.String,java.lang.Object)",1492,0.06631111111111111
"public static void org.junit.Assert.assertNotNull(java.lang.Object)",1281,0.056933333333333336
"double[][][][0]",1,4.4444444444444447E-5
"public static byte org.elasticsearch.test.ESTestCase.randomByte()",1,4.4444444444444447E-5
"int[][0]",13,5.777777777777778E-4
"int[][4]",2,8.888888888888889E-5
"public void org.elasticsearch.test.ESTestCase.assertPathHasBeenCleared(java.nio.file.Path) throws java.lang.Exception",284,0.012622222222222222
"public void org.elasticsearch.test.ESTestCase.assertPathHasBeenCleared(java.lang.String) throws java.lang.Exception",3413,0.1516888888888889
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[][][0]",14,6.222222222222223E-4
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_AWAITSFIX",1,4.4444444444444447E-5
"int[][6]",3,1.3333333333333334E-4
"public static final java.lang.String org.apache.lucene.util.LuceneTestCase.SYSPROP_MAXFAILURES",1,4.4444444444444447E-5
"org.elasticsearch.index.analysis.KuromojiAnalysisTests[][][3]",1,4.4444444444444447E-5
"randoop.operation.ArrayElementSet@1a89e229",60,0.0026666666666666666
"long[6]",14,6.222222222222223E-4
"public static void org.apache.lucene.util.LuceneTestCase.overrideDefaultQueryCache()",1,4.4444444444444447E-5
"randoop.operation.UncheckedCast@718bf12c",1,4.4444444444444447E-5
"long[0]",5576,0.24782222222222222
"java.lang.String[][][][0]",6,2.666666666666667E-4
"long[1]",28,0.0012444444444444445
"java.lang.String[][][][1]",23,0.0010222222222222223
"long[4]",165,0.007333333333333333
"java.lang.String[][][][4]",20,8.888888888888889E-4
"long[5]",10,4.4444444444444447E-4
"java.lang.String[][][][6]",14,6.222222222222223E-4
"randoop.operation.ArrayElementSet@20a2840c",2,8.888888888888889E-5
"long[2]",29,0.001288888888888889
"long[3]",13,5.777777777777778E-4
"randoop.operation.ArrayElementSet@1cb1e800",4,1.7777777777777779E-4
"int[][][6]",2,8.888888888888889E-5
"public static final boolean org.apache.lucene.util.LuceneTestCase.TEST_SLOW",1,4.4444444444444447E-5
